theta_hat,2.5 %,97.5 %,ml_g_d1_rmse,ml_g_d0_rmse,ml_m_log_loss,ml_pi_log_loss,model
0.8986757637062941,0.7702643789875724,1.027087148425016,1.0164862162608177,1.170548076488335,0.5745681044136265,0.4166648191043852,lasso
1.0279213961820723,0.9302941809623032,1.1255486114018414,1.0729451389939457,1.4025441994433967,0.5167542017664845,0.40537127969402575,oracle
0.8293373404147409,0.7011242846359115,0.9575503961935704,1.0367332023734588,1.2226534447901574,0.5766957596363154,0.43086158566691946,lasso
0.9431292074616908,0.8328484007566246,1.053410014166757,1.0955025689562703,1.4304552576384806,0.5342872559729617,0.4189585456372753,oracle
1.0190299999908885,0.8412533322837193,1.1968066676980575,1.0296078942364963,1.191191833661235,0.5588199685538969,0.4216506951607089,lasso
1.050708300691039,0.9187734187283815,1.1826431826536963,1.1067133611802822,1.428857592469975,0.53144771597922,0.41038854893591514,oracle
0.8252017129351368,0.7128448810098577,0.9375585448604159,1.0270324080132893,1.1111314029505062,0.5620505350325069,0.4169908894490994,lasso
0.9672285322523885,0.8750492199778808,1.0594078445268962,1.0767681053374358,1.3845750345314884,0.5268395463692014,0.4062830228689744,oracle
0.9535387830144639,0.8194403720559549,1.087637193972973,1.0292478595946872,1.1900071688407108,0.5797244101785565,0.41298915311341866,lasso
0.9778929848916419,0.847497234648906,1.1082887351343778,1.0907934632888658,1.43568963747435,0.5199727732660652,0.4004738456557617,oracle
1.0821069716670946,0.8834184607645956,1.2807954825695935,1.0632839011492587,1.19359441333458,0.5654644261639674,0.429756899312313,lasso
1.0654005901715053,0.8654618414502179,1.265339338892793,1.093563559875699,1.3869761742877273,0.5229609819678188,0.4169427014883925,oracle
1.1409866727100089,0.949548844093463,1.3324245013265548,1.031509544068034,1.2122203669425222,0.580306166270508,0.4290241153825388,lasso
1.0603145408607357,0.9518178282492356,1.168811253472236,1.0667127907602965,1.4148113137453973,0.52199217912089,0.4184469739590684,oracle
0.9279834725062605,0.7996579556091947,1.0563089894033262,1.0185530736572985,1.2656333500066654,0.5749199372572901,0.41667914437556874,lasso
0.8989459904239678,0.7970811961014351,1.0008107847465006,1.0835623129600689,1.4573505676566278,0.5394235926412736,0.4048484960540892,oracle
0.9933668152518802,0.8045626871628331,1.1821709433409273,1.040783808398022,1.2765866941279678,0.5752529728328131,0.4185080944509438,lasso
1.0152772625396849,0.8718177599127163,1.1587367651666534,1.0837583040383685,1.423210392812039,0.5226231410192248,0.4080535455339303,oracle
1.0844272655619855,0.8757476882739844,1.2931068428499868,1.0572554623356891,1.1848962925193884,0.5722982838096566,0.42764520928104716,lasso
1.0676144985781546,0.9448460319272654,1.1903829652290439,1.1090990694410534,1.4188106697497245,0.5344204841458756,0.4130017948298074,oracle
1.1396960507375222,0.7660174119835836,1.5133746894914608,1.0466766603462958,1.185237011071553,0.5786092179232072,0.4212226335842499,lasso
1.0472415792848746,0.8636265130934021,1.230856645476347,1.102218067582637,1.424103594191494,0.5362663309081889,0.4094761903796101,oracle
0.8663177211666255,0.7265617716956696,1.0060736706375815,1.056265342659066,1.1851977229355544,0.5683870903687341,0.4477480645863029,lasso
1.185163448406477,0.8127430300890179,1.5575838667239361,1.1199434165568674,1.3918658611939334,0.5254202415738827,0.4366971712293338,oracle
0.9425022845813564,0.7842471676950817,1.1007574014676311,1.0393788988800758,1.189580382007619,0.5844653553846737,0.4144758057336819,lasso
0.9852006126660312,0.8885271167241183,1.081874108607944,1.1087498840668575,1.4427267611586043,0.526922590609443,0.4033476529546317,oracle
1.0568665633576673,0.864485256371783,1.2492478703435514,1.0487584691133818,1.1717856944209903,0.5790052362388565,0.40883262697293493,lasso
1.0096549976727731,0.8517567903242964,1.1675532050212498,1.0924614888477513,1.3811078649240758,0.5351077496034283,0.3990591994623549,oracle
1.115934940225391,0.9385094551167603,1.2933604253340218,1.094249675077567,1.1938911134453036,0.5558498982009531,0.43988720299920653,lasso
1.2055117096656907,1.0681666903163933,1.342856729014988,1.1166795367976907,1.409649132632979,0.5196776538032271,0.42807281032752675,oracle
0.9580966939707284,0.8408197284380827,1.075373659503374,1.0476736572513967,1.2099316194569651,0.5885430113219305,0.4183794954081185,lasso
0.9665641195727984,0.8606626119631895,1.0724656271824073,1.0902646170100374,1.435383566471276,0.5365343895230583,0.40730323311619165,oracle
0.9701684818128903,0.7769092955620057,1.163427668063775,1.079720379040905,1.1937432299879138,0.5792181529824041,0.4260381291532244,lasso
0.9810948818679003,0.7920026321362801,1.1701871315995205,1.1300393613183668,1.3998268465652464,0.5219760792929065,0.4143161609325435,oracle
0.8802904879212718,0.7547376567948227,1.005843319047721,1.063242705528575,1.2293861199244749,0.5729375611941082,0.43331616268154993,lasso
0.97604905613009,0.8720941604474786,1.0800039518127014,1.1019475183158964,1.418821048891552,0.5212459205438034,0.42331800986629103,oracle
1.0760572165140405,0.8563132882626965,1.2958011447653845,1.057119305111189,1.1759904627099251,0.5642029366229767,0.41487652838188377,lasso
0.8921561303260668,0.7020891599407812,1.0822231007113523,1.1028816297652355,1.4229793179880263,0.5250551829149096,0.4040755660280406,oracle
0.8995072304815325,0.7839203632901514,1.0150940976729135,1.0639336444553182,1.2488465737453622,0.5626686697318579,0.43291844320808637,lasso
0.924816690149549,0.8255683622557605,1.0240650180433377,1.1193965318283527,1.411979323856131,0.5324638088020618,0.42112416555109605,oracle
0.9880425140045098,0.8500273353275654,1.1260576926814543,1.0277950096135824,1.1465766567225548,0.5747561936172179,0.41284642245931996,lasso
0.8975072313475951,0.7352298533822368,1.0597846093129535,1.0965935328323335,1.4076335306122723,0.5320795143737937,0.4016134111677717,oracle
0.9672945487861462,0.8152830243052254,1.119306073267067,1.0697806545241233,1.2057590091120756,0.5528128013755236,0.4252836387604944,lasso
