theta_hat,2.5 %,97.5 %,ml_g_mse,ml_m_log_loss,ml_pi_log_loss,model
0.8941195611399515,0.8029029330951349,0.9853361891847681,1.6165237747211358,0.5946552541465395,0.5105031136815447,rf
0.81695446690085,0.7269834766046839,0.9069254571970162,1.6761474649331143,0.5893403928805223,0.5242844683289997,rf
0.9031611501477288,0.8133605868936948,0.9929617134017628,1.6005558178088661,0.5772247437204073,0.5163936085898693,rf
0.8969241072845061,0.8052464781615137,0.9886017364074985,1.5936200700971874,0.5636730117296096,0.5162332119306071,rf
0.9258185924677722,0.8388959093944652,1.0127412755410792,1.5710256944706429,0.595045041289731,0.5136788051010144,rf
0.9647329023645586,0.8718997409241044,1.0575660638050126,1.6943386294753955,0.5939702636671255,0.5209214782681216,rf
0.9211290985357922,0.8322908303143968,1.0099673667571876,1.6368998209604666,0.5812531350612112,0.5240513604553801,rf
0.8233631162813966,0.7331414100312332,0.9135848225315599,1.7711708458350701,0.5771229406969565,0.5138828675252725,rf
0.98135376973907,0.8910866753028883,1.0716208641752516,1.6528424456661133,0.574089782075034,0.5178102136016067,rf
0.9033905100606262,0.811326523768567,0.9954544963526855,1.677948161619698,0.596732093467685,0.5191699428708906,rf
0.9338668477832064,0.8453112969041291,1.0224223986622838,1.5921263822173972,0.6001740381183336,0.5143143864374495,rf
0.8291034224748097,0.7232859099242968,0.9349209350253227,1.7322580258081255,0.5637894967206423,0.5412216693729528,rf
0.8623845163737448,0.7707395383276193,0.9540294944198703,1.712144580439166,0.5746744745800867,0.5097336818622065,rf
0.9211149591383201,0.8312166180537104,1.0110133002229298,1.6011308007380882,0.6034083699511745,0.5137925315038333,rf
0.9510928552324295,0.8484234546503755,1.0537622558144835,1.9536143017450298,0.5786597221754459,0.5273296803472424,rf
0.9312128692274161,0.8383710700658878,1.0240546683889444,1.6195680352310984,0.5737974348113161,0.5261864231696306,rf
0.9113080669941686,0.8205045956358229,1.002111538352514,1.645699225840599,0.5672543939164018,0.5269820334252101,rf
0.906354234558026,0.8088558628005672,1.0038526063154847,1.747266217719404,0.5829405050278281,0.5219169098682893,rf
0.8380447915122118,0.7441524171846986,0.931937165839725,1.7888561219094994,0.5582231555921288,0.5149209511517493,rf
0.8693617056033984,0.7816116878259521,0.9571117233808447,1.760445096832398,0.5890271904891533,0.5262015561766673,rf
0.8879421168962757,0.7967133628833174,0.9791708709092339,1.6728424386384428,0.5875041005975551,0.5198233844503752,rf
0.8906814846883492,0.8032039625185428,0.9781590068581556,1.6707916961960079,0.579336559761238,0.5193034477298436,rf
0.8826270290628968,0.7917128102577405,0.9735412478680531,1.5942808576174956,0.6063770412996495,0.5203106532608825,rf
0.8203599557112194,0.7281279078604004,0.9125920035620385,1.6594012143742094,0.5701805734186965,0.5149349458809447,rf
0.8594810075078244,0.7700261938138289,0.94893582120182,1.565778597655859,0.6101318871990051,0.5035258683762311,rf
0.8137237058287712,0.7201808695691995,0.9072665420883429,1.685016430593143,0.5999089625844416,0.5273731353102621,rf
0.9194544501348356,0.8268184260770586,1.0120904741926127,1.6222108568611782,0.5657832099776653,0.5196317323069878,rf
0.9734388848110451,0.8772684607169161,1.0696093089051741,1.6530957342865082,0.5853156928330838,0.5179222072345147,rf
0.8781915381085622,0.7804373173902608,0.9759457588268636,1.6990915222121288,0.5662860608830226,0.5286761050314598,rf
0.8321384186076172,0.7376501375616673,0.926626699653567,1.8164707374339668,0.5626039850202454,0.5400377034409853,rf
0.7948817878966183,0.7049176186809372,0.8848459571122995,1.6590390480062143,0.5954308578983774,0.5104373059319709,rf
0.8025344455333155,0.71158915243971,0.8934797386269211,1.743407300729929,0.5983732780808586,0.5280280011847516,rf
0.9897012427743606,0.8952480719024034,1.0841544136463177,1.6434656488590107,0.565740144150789,0.5151316431696784,rf
0.9129997881040308,0.8171757942112281,1.0088237819968335,1.7309512716652091,0.5962867763937413,0.5433766483505122,rf
0.8548155249691196,0.7599634237820678,0.9496676261561714,1.6549193505171824,0.561742890964673,0.5274717682603589,rf
0.9133122883320578,0.8195961871758857,1.00702838948823,1.6671488200091595,0.5739691153258363,0.5235501252730916,rf
0.8174223411911289,0.7271875950911149,0.9076570872911429,1.707366689222193,0.5537729604121949,0.5250582588067991,rf
0.8366091716472165,0.7423236576310701,0.9308946856633629,1.6138752072251548,0.5572889961147315,0.514500639250618,rf
0.9042889133781088,0.8031253183136182,1.0054525084425994,1.7067932877558145,0.6017652833522993,0.5303928188070913,rf
0.8058497387628017,0.7187789538485975,0.892920523677006,1.7444804694606928,0.5895505043254298,0.5220053736459469,rf
0.8090470797094265,0.7183395133699664,0.8997546460488866,1.5860568753459714,0.6205105520465286,0.5261937698109097,rf
0.9704884239583609,0.8751921716032343,1.0657846763134875,1.7558655826895884,0.5798776448031061,0.5358053615743446,rf
0.9419510971703838,0.8472466912974878,1.0366555030432798,1.65635776541039,0.5958621677686192,0.5210321435944755,rf
