tuning,model,coef_d,std err_d,t_d,P>|t|_d,2.5 %_d,97.5 %_d
no_tune,lasso,-523.2020127514076,522.3377460904542,-1.0016546126858,0.31651043465553996,-1546.9651828545252,500.5611573517101
no_tune,rf,0.6119632454009005,0.3857960956409075,1.5862349368369595,0.11268602529563664,-0.1441832074314483,1.3681096982332495
no_tune,xgb,83.87680205013582,79.46070478890071,1.055575863226574,0.2911620330520506,-71.86331752227896,239.6169216225506
tune,lasso,0.29700261558642627,0.3478464009546743,0.8538326536404982,0.39319771898895584,-0.38476380243661445,0.978769033609467
tune,rf,0.2719885054301721,0.36724573772661984,0.7406171875918194,0.4589255836572115,-0.44779991398984537,0.9917769248501895
tune,xgb,0.41016108454562605,0.7257713951332936,0.5651381237893741,0.5719798193746737,-1.012324710925018,1.83264688001627
