tuning,model,coef_d,std err_d,t_d,P>|t|_d,2.5 %_d,97.5 %_d
no_tune,lasso,-1.759336413614186,2.016408955148245,-0.872509720373088,0.38293036766848143,-5.711425343808788,2.1927525165804154
no_tune,rf,0.29134271440606496,0.3889633201954525,0.7490236206839926,0.4538429687423584,-0.4710113844841429,1.053696813296273
no_tune,xgb,-57.0743553630079,81.65814166955609,-0.6989426185323839,0.484587891810072,-217.12137207980726,102.97266135379147
tune,lasso,0.3025982896575948,0.30370397775447544,0.9963593229662124,0.3190755895830848,-0.2926505687027308,0.8978471480179204
tune,rf,0.24218297484015772,0.37021274949236294,0.6541724323979655,0.5130007201870195,-0.48342068078242284,0.9677866304627383
tune,xgb,0.1822802198741263,0.6148877789734424,0.2964446946375221,0.7668904969547243,-1.022877681447646,1.3874381211958984
